sample;annotation
Mr.Ricco;[(1, 9, 'B-BRAND')]
Кондитерское объединение Славянка;[(1, 12, 'B-BRAND'), (13, 23, 'I-BRAND'), (24, 32, 'I-BRAND')]
Mars Inc.;[(1, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
Healthy innovation;[(1, 7, 'B-BRAND'), (8, 18, 'I-BRAND')]
Щебекинские;[(1, 12, 'B-BRAND')]
Великая крепость;[(1, 7, 'B-BRAND'), (8, 16, 'I-BRAND')]
бурёнкин луг;[(1, 8, 'B-BRAND'), (9, 12, 'I-BRAND')]
большая кружка;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
Семейка Озби;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
REGALIO vegan;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
Мясницкий Ряд;[(1, 9, 'B-BRAND'), (10, 13, 'I-BRAND')]
Roshal;[(1, 7, 'B-BRAND')]
7 узлов;[(1, 1, 'B-BRAND'), (2, 7, 'I-BRAND')]
Белый Медведь;[(1, 5, 'B-BRAND'), (6, 13, 'I-BRAND')]
Фарм Групп;[(1, 4, 'B-BRAND'), (5, 10, 'I-BRAND')]
Hanna's Farm;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
kruazett;[(1, 9, 'B-BRAND')]
Брянконфи;[(1, 10, 'B-BRAND')]
RITTER SPORT;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
Дирол;[(1, 6, 'B-BRAND')]
Freshville;[(1, 11, 'B-BRAND')]
очакова;[(1, 8, 'B-BRAND')]
BigBon;[(1, 7, 'B-BRAND')]
Радостино;[(1, 10, 'B-BRAND')]
Медоборы;[(1, 9, 'B-BRAND')]
Спец;[(1, 5, 'B-BRAND')]
Revival;[(1, 8, 'B-BRAND')]
Mitros;[(1, 7, 'B-BRAND')]
ВкусСити;[(1, 9, 'B-BRAND')]
Lavazza;[(1, 8, 'B-BRAND')]
Джаз;[(1, 5, 'B-BRAND')]
Лианозовское;[(1, 13, 'B-BRAND')]
Mamba;[(1, 6, 'B-BRAND')]
O'boy;[(1, 6, 'B-BRAND')]
Green Planet;[(1, 5, 'B-BRAND'), (6, 12, 'I-BRAND')]
Yaratelle;[(1, 10, 'B-BRAND')]
BEERka;[(1, 7, 'B-BRAND')]
Тимоша;[(1, 7, 'B-BRAND')]
Cook Chart;[(1, 4, 'B-BRAND'), (5, 10, 'I-BRAND')]
Ферма Роста;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
Galbani;[(1, 8, 'B-BRAND')]
Sun Tea Hills;[(1, 3, 'B-BRAND'), (4, 6, 'I-BRAND'), (7, 12, 'I-BRAND')]
harrys;[(1, 7, 'B-BRAND')]
Geonatura;[(1, 10, 'B-BRAND')]
Хозяюшка;[(1, 9, 'B-BRAND')]
Магнат;[(1, 7, 'B-BRAND')]
И Зимой и Летом;[(1, 1, 'B-BRAND'), (2, 6, 'I-BRAND'), (7, 7, 'I-BRAND'), (8, 13, 'I-BRAND')]
AF BREW;[(1, 2, 'B-BRAND'), (3, 7, 'I-BRAND')]
Stick Me;[(1, 5, 'B-BRAND'), (6, 8, 'I-BRAND')]
Радость вкуса;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
Tip Top;[(1, 3, 'B-BRAND'), (4, 7, 'I-BRAND')]
今麦郎;[(1, 4, 'B-BRAND')]
Tatawa;[(1, 7, 'B-BRAND')]
промит;[(1, 7, 'B-BRAND')]
Ессентуки;[(1, 10, 'B-BRAND')]
ООО Экорыба;[(1, 3, 'B-BRAND'), (4, 11, 'I-BRAND')]
the-gentle-nut;[(1, 15, 'B-BRAND')]
ne moloko;[(1, 2, 'B-BRAND'), (3, 9, 'I-BRAND')]
маэстро;[(1, 8, 'B-BRAND')]
Neo;[(1, 4, 'B-BRAND')]
Бояринъ;[(1, 8, 'B-BRAND')]
Сметанин;[(1, 9, 'B-BRAND')]
Schogetten;[(1, 11, 'B-BRAND')]
Grand di pasta;[(1, 5, 'B-BRAND'), (6, 7, 'I-BRAND'), (8, 13, 'I-BRAND')]
Saldens;[(1, 8, 'B-BRAND')]
Джин;[(1, 5, 'B-BRAND')]
Greenme Plus;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
Actimuno;[(1, 9, 'B-BRAND')]
Грин Рэй,Green Ray,GreenRay;[(1, 4, 'B-BRAND'), (5, 13, 'I-BRAND'), (14, 26, 'I-BRAND')]
TARGET;[(1, 7, 'B-BRAND')]
Йуми;[(1, 5, 'B-BRAND')]
ПОБЕДА;[(1, 7, 'B-BRAND')]
Pingo Doce;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
Кофе тайм;[(1, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
Молочные узоры,ООО «УВА-МОЛОКО»;[(1, 8, 'B-BRAND'), (9, 17, 'I-BRAND'), (18, 30, 'I-BRAND')]
CasaliJosef Manner & comp.;[(1, 11, 'B-BRAND'), (12, 17, 'I-BRAND'), (18, 18, 'I-BRAND'), (19, 24, 'I-BRAND')]
Alex Group;[(1, 4, 'B-BRAND'), (5, 10, 'I-BRAND')]
Бабушкинская крынка;[(1, 12, 'B-BRAND'), (13, 19, 'I-BRAND')]
Минская Марка;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
Nature’s Own Factory;[(1, 8, 'B-BRAND'), (9, 11, 'I-BRAND'), (12, 19, 'I-BRAND')]
ОАО Белая Дача Трейдинг;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND'), (9, 12, 'I-BRAND'), (13, 21, 'I-BRAND')]
Reese's;[(1, 8, 'B-BRAND')]
Toss;[(1, 5, 'B-BRAND')]
Mi-Ri-Ne;[(1, 9, 'B-BRAND')]
Dr. Naturi;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND')]
МЛЕКАРА ШАБАЦ А. Д. Шабац;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND'), (13, 14, 'I-BRAND'), (15, 16, 'I-BRAND'), (17, 22, 'I-BRAND')]
Ufeelgood;[(1, 10, 'B-BRAND')]
Устьянский;[(1, 11, 'B-BRAND')]
Bibigo;[(1, 7, 'B-BRAND')]
Победа вкуса;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
spirulinafood;[(1, 14, 'B-BRAND')]
ООО СЛАСТИ;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND')]
Kellogg's;[(1, 10, 'B-BRAND')]
Zinus;[(1, 6, 'B-BRAND')]
ООО Хлеб Сабурово;[(1, 3, 'B-BRAND'), (4, 7, 'I-BRAND'), (8, 16, 'I-BRAND')]
АО ОМПК;[(1, 2, 'B-BRAND'), (3, 7, 'I-BRAND')]
Буренкино;[(1, 10, 'B-BRAND')]
Супермаркет НК СИТИ;[(1, 11, 'B-BRAND'), (12, 13, 'I-BRAND'), (14, 18, 'I-BRAND')]
green idea;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
БРСям;[(1, 6, 'B-BRAND')]
milk secret;[(1, 4, 'B-BRAND'), (5, 11, 'I-BRAND')]
Lays, Lay's;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
Мишкино счастье;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND')]
Ладон;[(1, 6, 'B-BRAND')]
Дикси;[(1, 6, 'B-BRAND')]
Eco botanica;[(1, 3, 'B-BRAND'), (4, 12, 'I-BRAND')]
Ibérica;[(1, 8, 'B-BRAND')]
Amber city;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
Кондитерская фабрика им. Н.К Крупской;[(1, 12, 'B-BRAND'), (13, 19, 'I-BRAND'), (20, 22, 'I-BRAND'), (23, 25, 'I-BRAND'), (26, 34, 'I-BRAND')]
Dr Gerard;[(1, 2, 'B-BRAND'), (3, 9, 'I-BRAND')]
Аланталь;[(1, 9, 'B-BRAND')]
Milkyway;[(1, 9, 'B-BRAND')]
basilur;[(1, 8, 'B-BRAND')]
Приморский кондитер;[(1, 10, 'B-BRAND'), (11, 19, 'I-BRAND')]
Greco;[(1, 6, 'B-BRAND')]
РОСКАР;[(1, 7, 'B-BRAND')]
ООО ПРОГРЕСС;[(1, 3, 'B-BRAND'), (4, 12, 'I-BRAND')]
ООО «Рыбокомбинат «Беломорье»;[(1, 3, 'B-BRAND'), (4, 16, 'I-BRAND'), (17, 28, 'I-BRAND')]
Мясницкий ряд;[(1, 9, 'B-BRAND'), (10, 13, 'I-BRAND')]
Дымов;[(1, 6, 'B-BRAND')]
Vkusvill;[(1, 9, 'B-BRAND')]
Фар тЮг;[(1, 3, 'B-BRAND'), (4, 7, 'I-BRAND')]
Sulá;[(1, 5, 'B-BRAND')]
Секрет Здоровья;[(1, 6, 'B-BRAND'), (7, 15, 'I-BRAND')]
Столичная;[(1, 10, 'B-BRAND')]
Fragata;[(1, 8, 'B-BRAND')]
ООО «Сибиряк»;[(1, 3, 'B-BRAND'), (4, 13, 'I-BRAND')]
тульская кондитерская фабрика ясная поляна;[(1, 8, 'B-BRAND'), (9, 20, 'I-BRAND'), (21, 27, 'I-BRAND'), (28, 32, 'I-BRAND'), (33, 39, 'I-BRAND')]
ООО ПИНС;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND')]
Коркунов;[(1, 9, 'B-BRAND')]
Vegeta,Podravka;[(1, 16, 'B-BRAND')]
Page Le MARE;[(1, 4, 'B-BRAND'), (5, 6, 'I-BRAND'), (7, 11, 'I-BRAND')]
Muller;[(1, 7, 'B-BRAND')]
Фруттис;[(1, 8, 'B-BRAND')]
Снеговичок;[(1, 11, 'B-BRAND')]
Vitly premium;[(1, 5, 'B-BRAND'), (6, 13, 'I-BRAND')]
Белый Кремль;[(1, 5, 'B-BRAND'), (6, 12, 'I-BRAND')]
Белёвская пастильная мануфактура;[(1, 9, 'B-BRAND'), (10, 19, 'I-BRAND'), (20, 31, 'I-BRAND')]
белебеевский сыр;[(1, 12, 'B-BRAND'), (13, 16, 'I-BRAND')]
Рыжая корова;[(1, 5, 'B-BRAND'), (6, 12, 'I-BRAND')]
ООО КЦК АРОНАП;[(1, 3, 'B-BRAND'), (4, 6, 'I-BRAND'), (7, 13, 'I-BRAND')]
Фантола;[(1, 8, 'B-BRAND')]
Сластёна;[(1, 9, 'B-BRAND')]
лакомства для здоровья;[(1, 9, 'B-BRAND'), (10, 12, 'I-BRAND'), (13, 21, 'I-BRAND')]
ООО ПЕРСПЕКТИВА;[(1, 3, 'B-BRAND'), (4, 15, 'I-BRAND')]
Premium Club;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
MIX BAR;[(1, 3, 'B-BRAND'), (4, 7, 'I-BRAND')]
АЗЕРЧАЙ;[(1, 8, 'B-BRAND')]
Магуро;[(1, 7, 'B-BRAND')]
Конфеста;[(1, 9, 'B-BRAND')]
Клин го;[(1, 4, 'B-BRAND'), (5, 7, 'I-BRAND')]
Ванюшкины сладости;[(1, 9, 'B-BRAND'), (10, 18, 'I-BRAND')]
Уральский сыровар;[(1, 9, 'B-BRAND'), (10, 17, 'I-BRAND')]
ITLV;[(1, 5, 'B-BRAND')]
Fein;[(1, 5, 'B-BRAND')]
Dobroty babičky Kláry;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND'), (15, 20, 'I-BRAND')]
300;[(1, 4, 'B-BRAND')]
4 Сезона;[(1, 1, 'B-BRAND'), (2, 8, 'I-BRAND')]
ООО Дейри Фуд;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND'), (9, 12, 'I-BRAND')]
In-Fi,TODAY In-Fi,In-Fi Coffee,TODAY Coffee Enterprise Ltd,Cafea-Group;[(1, 11, 'B-BRAND'), (12, 22, 'I-BRAND'), (23, 34, 'I-BRAND'), (35, 40, 'I-BRAND'), (41, 50, 'I-BRAND'), (51, 66, 'I-BRAND')]
Wrigley's, ООО Марс;[(1, 10, 'B-BRAND'), (11, 13, 'I-BRAND'), (14, 18, 'I-BRAND')]
Dongning jindalai Food import and export Co., Ltd;[(1, 8, 'B-BRAND'), (9, 16, 'I-BRAND'), (17, 20, 'I-BRAND'), (21, 26, 'I-BRAND'), (27, 29, 'I-BRAND'), (30, 35, 'I-BRAND'), (36, 39, 'I-BRAND'), (40, 43, 'I-BRAND')]
травы-и-пчёлы;[(1, 14, 'B-BRAND')]
бабаевский;[(1, 11, 'B-BRAND')]
Hummuskasa;[(1, 11, 'B-BRAND')]
А. Коркунов;[(1, 2, 'B-BRAND'), (3, 11, 'I-BRAND')]
Антонович;[(1, 10, 'B-BRAND')]
Фуджи;[(1, 6, 'B-BRAND')]
Агро-Альянс Экстра,Агро-Альянс;[(1, 11, 'B-BRAND'), (12, 30, 'I-BRAND')]
Инстанта Рус;[(1, 8, 'B-BRAND'), (9, 12, 'I-BRAND')]
Биг Ланч;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND')]
Кдв Новосибирск;[(1, 3, 'B-BRAND'), (4, 15, 'I-BRAND')]
HELLO KITTY;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
Юг;[(1, 3, 'B-BRAND')]
Рузком;[(1, 7, 'B-BRAND')]
Oettinger;[(1, 10, 'B-BRAND')]
Арсеньевский;[(1, 13, 'B-BRAND')]
То что надо!;[(1, 2, 'B-BRAND'), (3, 5, 'I-BRAND'), (6, 11, 'I-BRAND')]
Veneta;[(1, 7, 'B-BRAND')]
Вкуснотеево;[(1, 12, 'B-BRAND')]
RF;[(1, 3, 'B-BRAND')]
Ясная горка;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
Must Have;[(1, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
БРТ;[(1, 4, 'B-BRAND')]
Вкуссвил;[(1, 9, 'B-BRAND')]
#2755;[(1, 6, 'B-BRAND')]
Santa Maria;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
Кукусики;[(1, 9, 'B-BRAND')]
Кнор;[(1, 5, 'B-BRAND')]
Lielvārdes;[(1, 11, 'B-BRAND')]
Kati;[(1, 5, 'B-BRAND')]
Los Tres Olivos;[(1, 3, 'B-BRAND'), (4, 7, 'I-BRAND'), (8, 14, 'I-BRAND')]
ОАО Морепродукт;[(1, 3, 'B-BRAND'), (4, 15, 'I-BRAND')]
Митлес;[(1, 7, 'B-BRAND')]
Воронцовские;[(1, 13, 'B-BRAND')]
Родная кухня;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
Норд СиФуд;[(1, 4, 'B-BRAND'), (5, 10, 'I-BRAND')]
CMTech;[(1, 7, 'B-BRAND')]
Вкусвилл ооо иль мио мороженко;[(1, 8, 'B-BRAND'), (9, 11, 'I-BRAND'), (12, 14, 'I-BRAND'), (15, 17, 'I-BRAND'), (18, 27, 'I-BRAND')]
Бульба;[(1, 7, 'B-BRAND')]
Tallinn products;[(1, 7, 'B-BRAND'), (8, 16, 'I-BRAND')]
Mentos;[(1, 7, 'B-BRAND')]
АП;[(1, 3, 'B-BRAND')]
старорусское молоко;[(1, 12, 'B-BRAND'), (13, 19, 'I-BRAND')]
Dr. Bakers;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND')]
Aland;[(1, 6, 'B-BRAND')]
Семушка;[(1, 8, 'B-BRAND')]
Зеленоград хлеб;[(1, 10, 'B-BRAND'), (11, 15, 'I-BRAND')]
Priprava;[(1, 9, 'B-BRAND')]
Грант Сервис;[(1, 5, 'B-BRAND'), (6, 12, 'I-BRAND')]
Sweet religion;[(1, 5, 'B-BRAND'), (6, 14, 'I-BRAND')]
Ягодный крац;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
Как Раз;[(1, 3, 'B-BRAND'), (4, 7, 'I-BRAND')]
k-classic;[(1, 10, 'B-BRAND')]
Гурмикс;[(1, 8, 'B-BRAND')]
chokodelika;[(1, 12, 'B-BRAND')]
Сэн Сой Премиум,Сэн Сой;[(1, 3, 'B-BRAND'), (4, 6, 'I-BRAND'), (7, 17, 'I-BRAND'), (18, 21, 'I-BRAND')]
AmFood;[(1, 7, 'B-BRAND')]
AD Medicine;[(1, 2, 'B-BRAND'), (3, 11, 'I-BRAND')]
нерехтский мясокомбинат;[(1, 10, 'B-BRAND'), (11, 23, 'I-BRAND')]
Twinings;[(1, 9, 'B-BRAND')]
Seiyo;[(1, 6, 'B-BRAND')]
Krusty shock;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
Sernur;[(1, 7, 'B-BRAND')]
Останкино;[(1, 10, 'B-BRAND')]
Будем знакомы;[(1, 5, 'B-BRAND'), (6, 13, 'I-BRAND')]
яшкино;[(1, 7, 'B-BRAND')]
Market collection;[(1, 6, 'B-BRAND'), (7, 17, 'I-BRAND')]
Bio баланс;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND')]
Русский продукт, Mirfoods, Мирфудс;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND'), (16, 24, 'I-BRAND'), (25, 32, 'I-BRAND')]
принцесса Ява;[(1, 9, 'B-BRAND'), (10, 13, 'I-BRAND')]
Saint Spring, Святой Источник;[(1, 5, 'B-BRAND'), (6, 12, 'I-BRAND'), (13, 18, 'I-BRAND'), (19, 27, 'I-BRAND')]
Птицефабрика Горномарийская;[(1, 12, 'B-BRAND'), (13, 27, 'I-BRAND')]
Cool cola;[(1, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
а;[(1, 2, 'B-BRAND')]
EnchanTimals;[(1, 13, 'B-BRAND')]
Лента KIDS;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
Авита;[(1, 6, 'B-BRAND')]
DiaDar;[(1, 7, 'B-BRAND')]
Сытый боцман;[(1, 5, 'B-BRAND'), (6, 12, 'I-BRAND')]
Мясной дворик;[(1, 6, 'B-BRAND'), (7, 13, 'I-BRAND')]
Trattoria di maestro Turatti;[(1, 9, 'B-BRAND'), (10, 11, 'I-BRAND'), (12, 18, 'I-BRAND'), (19, 26, 'I-BRAND')]
Wexford;[(1, 8, 'B-BRAND')]
Долина Солнца;[(1, 6, 'B-BRAND'), (7, 13, 'I-BRAND')]
Русский сахар,Русагро;[(1, 7, 'B-BRAND'), (8, 21, 'I-BRAND')]
Golubitskie Estate;[(1, 11, 'B-BRAND'), (12, 18, 'I-BRAND')]
Петруха;[(1, 8, 'B-BRAND')]
ПК ООО РУСЬ;[(1, 2, 'B-BRAND'), (3, 5, 'I-BRAND'), (6, 10, 'I-BRAND')]
Maris Ocean;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
Glenfiddich;[(1, 12, 'B-BRAND')]
Kosmostars;[(1, 11, 'B-BRAND')]
Городецкая ферма;[(1, 10, 'B-BRAND'), (11, 16, 'I-BRAND')]
Уже Готов;[(1, 3, 'B-BRAND'), (4, 9, 'I-BRAND')]
хуторок;[(1, 8, 'B-BRAND')]
E-ON;[(1, 5, 'B-BRAND')]
Фишка;[(1, 6, 'B-BRAND')]
Caesar, Цезарь;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
Сарепта;[(1, 8, 'B-BRAND')]
Вкусномама;[(1, 11, 'B-BRAND')]
ООО Глобал Фуд;[(1, 3, 'B-BRAND'), (4, 9, 'I-BRAND'), (10, 13, 'I-BRAND')]
Sweet Life;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
Северная Долина (Шахунское молоко);[(1, 8, 'B-BRAND'), (9, 14, 'I-BRAND'), (15, 24, 'I-BRAND'), (25, 32, 'I-BRAND')]
вологодский молочный комбинат;[(1, 11, 'B-BRAND'), (12, 19, 'I-BRAND'), (20, 28, 'I-BRAND')]
лихтенхаген;[(1, 12, 'B-BRAND')]
L.O.L. SURPRISE;[(1, 6, 'B-BRAND'), (7, 15, 'I-BRAND')]
Скрепыши;[(1, 9, 'B-BRAND')]
Vifon;[(1, 6, 'B-BRAND')]
Хороший день;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
Цена & Качество;[(1, 4, 'B-BRAND'), (5, 5, 'I-BRAND'), (6, 14, 'I-BRAND')]
Нева;[(1, 5, 'B-BRAND')]
Plouda;[(1, 7, 'B-BRAND')]
Роллтон;[(1, 8, 'B-BRAND')]
Высший молочный стандарт;[(1, 6, 'B-BRAND'), (7, 14, 'I-BRAND'), (15, 23, 'I-BRAND')]
Гротверг;[(1, 9, 'B-BRAND')]
Merito;[(1, 7, 'B-BRAND')]
green wise;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
ресурс;[(1, 7, 'B-BRAND')]
Буйский хлебозавод;[(1, 7, 'B-BRAND'), (8, 18, 'I-BRAND')]
Ozon;[(1, 5, 'B-BRAND')]
Ариант;[(1, 7, 'B-BRAND')]
нет;[(1, 4, 'B-BRAND')]
Jacobs;[(1, 7, 'B-BRAND')]
Фанагория;[(1, 10, 'B-BRAND')]
Fox;[(1, 4, 'B-BRAND')]
арал;[(1, 5, 'B-BRAND')]
Mītava;[(1, 7, 'B-BRAND')]
vkusvill;[(1, 9, 'B-BRAND')]
Северная Долина;[(1, 8, 'B-BRAND'), (9, 15, 'I-BRAND')]
La Explanada gourmet;[(1, 2, 'B-BRAND'), (3, 11, 'I-BRAND'), (12, 19, 'I-BRAND')]
Золотая Русь,Сады Придонья;[(1, 7, 'B-BRAND'), (8, 16, 'I-BRAND'), (17, 25, 'I-BRAND')]
Боровкова.;[(1, 11, 'B-BRAND')]
Clean go;[(1, 5, 'B-BRAND'), (6, 8, 'I-BRAND')]
ООО Кондитерская фабрика Конфеста;[(1, 3, 'B-BRAND'), (4, 15, 'I-BRAND'), (16, 22, 'I-BRAND'), (23, 31, 'I-BRAND')]
КонПрок;[(1, 8, 'B-BRAND')]
Natura;[(1, 7, 'B-BRAND')]
Yoshimi;[(1, 8, 'B-BRAND')]
Дека;[(1, 5, 'B-BRAND')]
Волга,ОАО «Ярпиво»;[(1, 9, 'B-BRAND'), (10, 18, 'I-BRAND')]
ООО Кубанские Хлебцы;[(1, 3, 'B-BRAND'), (4, 12, 'I-BRAND'), (13, 19, 'I-BRAND')]
Три хозяйки;[(1, 3, 'B-BRAND'), (4, 11, 'I-BRAND')]
Teneris;[(1, 8, 'B-BRAND')]
LABRADA;[(1, 8, 'B-BRAND')]
вкусвилл;[(1, 9, 'B-BRAND')]
Globus;[(1, 7, 'B-BRAND')]
Царицыно;[(1, 9, 'B-BRAND')]
пассим;[(1, 7, 'B-BRAND')]
Русский цикорий;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND')]
lucky days;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
КФ им. Н.К. Крупской;[(1, 2, 'B-BRAND'), (3, 5, 'I-BRAND'), (6, 9, 'I-BRAND'), (10, 18, 'I-BRAND')]
Jarmark;[(1, 8, 'B-BRAND')]
АЛРУС-Хлеб;[(1, 11, 'B-BRAND')]
DeLavant;[(1, 9, 'B-BRAND')]
Хрустайм,Утренняя свирель;[(1, 17, 'B-BRAND'), (18, 25, 'I-BRAND')]
меридиан;[(1, 9, 'B-BRAND')]
MAGIC EGG;[(1, 5, 'B-BRAND'), (6, 9, 'I-BRAND')]
Трио инвест;[(1, 4, 'B-BRAND'), (5, 11, 'I-BRAND')]
KDV;[(1, 4, 'B-BRAND')]
На грядке;[(1, 2, 'B-BRAND'), (3, 9, 'I-BRAND')]
Valmiermuižas;[(1, 14, 'B-BRAND')]
Dr.Oetker;[(1, 10, 'B-BRAND')]
Великолукский мясокомбинат;[(1, 13, 'B-BRAND'), (14, 26, 'I-BRAND')]
Mendi;[(1, 6, 'B-BRAND')]
халяль барака;[(1, 6, 'B-BRAND'), (7, 13, 'I-BRAND')]
KFC,Heinz;[(1, 10, 'B-BRAND')]
Дасония;[(1, 8, 'B-BRAND')]
tt;[(1, 3, 'B-BRAND')]
Novasweet;[(1, 10, 'B-BRAND')]
Funny Organix;[(1, 5, 'B-BRAND'), (6, 13, 'I-BRAND')]
Морозко;[(1, 8, 'B-BRAND')]
Belaruskali;[(1, 12, 'B-BRAND')]
Чернышихинские колбасы;[(1, 14, 'B-BRAND'), (15, 22, 'I-BRAND')]
Лента FRESH;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
Сава;[(1, 5, 'B-BRAND')]
Скатерть-самобранка;[(1, 20, 'B-BRAND')]
Ritter Sport, Ritter Sport Bunte Vielfalt, Ritter Sport Sommer-Genuss;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND'), (13, 18, 'I-BRAND'), (19, 23, 'I-BRAND'), (24, 28, 'I-BRAND'), (29, 37, 'I-BRAND'), (38, 43, 'I-BRAND'), (44, 48, 'I-BRAND'), (49, 62, 'I-BRAND')]
Rosanna;[(1, 8, 'B-BRAND')]
Zewa;[(1, 5, 'B-BRAND')]
Timmermans;[(1, 11, 'B-BRAND')]
Joni;[(1, 5, 'B-BRAND')]
Brand ICE;[(1, 5, 'B-BRAND'), (6, 9, 'I-BRAND')]
ehrmann;[(1, 8, 'B-BRAND')]
PAC1014;[(1, 8, 'B-BRAND')]
АО Учебно-опытный молочный завод;[(1, 2, 'B-BRAND'), (3, 16, 'I-BRAND'), (17, 24, 'I-BRAND'), (25, 30, 'I-BRAND')]
Bio Баланс;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND')]
Lay's;[(1, 6, 'B-BRAND')]
Ecomilk;[(1, 8, 'B-BRAND')]
АТОН;[(1, 5, 'B-BRAND')]
СВЕТАЕВО;[(1, 9, 'B-BRAND')]
здоровое-меню;[(1, 14, 'B-BRAND')]
Беловежские Сыры;[(1, 11, 'B-BRAND'), (12, 16, 'I-BRAND')]
Румелко Агро;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
IJEVAN;[(1, 7, 'B-BRAND')]
Борихинский пивоваренный завод;[(1, 11, 'B-BRAND'), (12, 23, 'I-BRAND'), (24, 29, 'I-BRAND')]
Crunch;[(1, 7, 'B-BRAND')]
Молочный ларец;[(1, 8, 'B-BRAND'), (9, 14, 'I-BRAND')]
happy mallow;[(1, 5, 'B-BRAND'), (6, 12, 'I-BRAND')]
Молочный мир, От фермера;[(1, 8, 'B-BRAND'), (9, 12, 'I-BRAND'), (13, 14, 'I-BRAND'), (15, 22, 'I-BRAND')]
4сезона;[(1, 8, 'B-BRAND')]
Сдобри;[(1, 7, 'B-BRAND')]
Здоровье;[(1, 9, 'B-BRAND')]
Ферма;[(1, 6, 'B-BRAND')]
Продимпекс;[(1, 11, 'B-BRAND')]
зелтон;[(1, 7, 'B-BRAND')]
bombbar;[(1, 8, 'B-BRAND')]
Бабушкин погребок;[(1, 8, 'B-BRAND'), (9, 17, 'I-BRAND')]
победа вкуса;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
Amstel;[(1, 7, 'B-BRAND')]
Юбилейное, Большевик;[(1, 10, 'B-BRAND'), (11, 20, 'I-BRAND')]
ООО Белёвская пастила;[(1, 3, 'B-BRAND'), (4, 12, 'I-BRAND'), (13, 20, 'I-BRAND')]
Быстров;[(1, 8, 'B-BRAND')]
Bon Season;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND')]
ne-moloko;[(1, 10, 'B-BRAND')]
ого;[(1, 4, 'B-BRAND')]
La Doria,Premiere of taste;[(1, 2, 'B-BRAND'), (3, 16, 'I-BRAND'), (17, 18, 'I-BRAND'), (19, 24, 'I-BRAND')]
Кременкульское;[(1, 15, 'B-BRAND')]
Вернер;[(1, 7, 'B-BRAND')]
Конти / Konti;[(1, 5, 'B-BRAND'), (6, 6, 'I-BRAND'), (7, 12, 'I-BRAND')]
Ясь Белоус;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND')]
